feature_id,canonical_name,user_intent,audience_tier,current_location,current_secondary_locations,proposed_location,classification,support_state,reliability_evidence,known_limitations,destructive_or_lossy,requires_capability_preflight,canonical_action_id,action,rationale
G014,About capabilities and release,Review version capability and boundaries,2,Advanced & support,Help,About,C,available,Release metadata,Some claims need continued documentation cleanup,no,no,about-release,KEEP,Useful transparency at low frequency
G015,Settings,Configure interface viewer recovery and privacy,1,Global nav,,Settings,B,available,Settings schema and migration,Some advanced settings add complexity,no,no,settings,KEEP,Expected application capability
G016,PWA readiness status,Inspect install offline and persistence readiness,3,Home,Settings,Settings only,F,available,PWA readiness component,Technical and duplicated on Home,no,no,pwa-readiness,DEMOTE,Remove duplicate Home exposure
G017,Help center,Search offline user guidance,1,Global nav,About,Help,A,available,Bundled help content,Must track reconstructed information architecture,no,no,help,KEEP,Essential for an advanced product
G018,Command palette,Find and launch actions,1,Global shell,,Global task launcher,D,available,UI component works,Indexes architecture and modes rather than many user tasks,no,no,command-palette,REPAIR,High value but current discoverability model is wrong
G019,Simple and Advanced experience switch,Control visible tool complexity,1,Workspace,Settings,Progressive disclosure rather than global mode,E,available,Settings and workspace mode lists,Simple still exposes seven modes and creates two taxonomies,no,no,experience-level,MERGE,Replace with intent-based defaults and advanced disclosure in R2
G020,Workspace document tabs,Switch pin reorder and restore open PDFs,2,Workspace,,Workspace,B,available,Workspace session tests,May be excessive on phone,no,no,workspace-tabs,KEEP,Useful multi-document capability
G021,Workspace history and checkpoints,Review revisions and create or restore checkpoints,2,Workspace,,More > History & recovery,C,available,Checkpoint revision and transaction gates,Current panel exposes transactions and events jargon,no,no,workspace-history,DEMOTE,Keep recovery and simplify technical timeline
V001,Read PDF,Render and read pages,1,Read,,Read,A,available,PDF.js cross-browser matrix,Browser memory limits on extreme files,no,yes,read-pdf,KEEP,Core capability
V002,Search document text,Find text in PDF,1,Read,,Read toolbar,A,available,Viewer tests,Scanned pages need OCR,no,yes,search-pdf,KEEP,Core capability
V003,Text selection and copy,Select PDF text,1,Read,,Read,A,available,PDF.js,Depends on PDF text layer,no,yes,select-text,KEEP,Expected viewer behavior
V004,Thumbnail navigation,Navigate by page thumbnails,1,Read,Edit and Pages sidebars,Read,A,available,Viewer and large-document tests,Large documents use adaptive rendering,no,no,page-thumbnails,KEEP,Core navigation
V005,Outline navigation,Navigate bookmarks and outlines,1,Read,,Read,B,available,PDF.js outline support,Absent when source has no outline,no,yes,outline-navigation,KEEP,Useful when present
V006,Link navigation,Use PDF links,1,Read,,Read,B,available-with-warning,PDF.js link handling,External links have security considerations,no,yes,pdf-links,KEEP,Expected PDF behavior
V007,Interactive PDF display,Display annotations and forms,1,Read,Edit and Forms,Read,B,available,PDF.js rendering,Mutation belongs elsewhere,no,yes,view-interactive-pdf,KEEP,Needed for faithful reading
V008,Zoom and view modes,Adjust zoom and continuous or single-page view,1,Read,Settings,Read toolbar,A,available,Viewer tests,Browser and device limits,no,no,viewer-controls,KEEP,Core viewer controls
E001,Edit existing text,Change supported text already in a PDF,1,Edit,Legacy Print & Advanced > Text,Edit,A,available-with-warning,P1 P2 P8 browser and fidelity gates,Not universal cross-column or page reflow and complex scripts limited,yes,yes,edit-existing-text,KEEP,Primary differentiating workflow
E002,Add text,Insert new text,1,Edit,,Edit,A,available,Editor export tests,Static font and script boundaries apply,yes,yes,add-text,KEEP,Core editing
E003,Edit existing images,Move resize crop replace or delete source images,1,Edit,Legacy Print & Advanced > Images,Edit,A,available-with-warning,P3 P8 gates,Masks clipping blend and shared-image semantics may differ,yes,yes,edit-existing-image,KEEP,Strong v7 capability
E004,Add images,Insert image objects,1,Edit,,Edit,A,available,Editor tests,Local asset required,yes,yes,add-image,KEEP,Core editing
E005,Edit existing vectors,Transform restyle or delete supported source paths,2,Edit,,Edit > advanced object properties,B,available-with-warning,P4 P8 gates,Clips patterns shadings and arbitrary nested paths bounded,yes,yes,edit-existing-vector,KEEP,Powerful but capability-gated
E006,Edit detected tables,Edit or rebuild detected table cells and geometry,2,Edit,,Edit > table properties,B,available-with-warning,P5 P8 gates,Detection is inferred and complex tables are blocked,yes,yes,edit-table,KEEP,Useful when supported
E007,Edit nested PDF groups,Transform or remove supported Form XObject instances,3,Edit,,Edit > advanced object properties,C,available-with-warning,P7 P8 gates,Does not recursively rewrite nested source stream,yes,yes,edit-nested-group,DEMOTE,Keep capability but do not advertise to ordinary users
E008,Add link,Place link annotation,1,Edit,,Edit,B,available,Editor export and reopen validation,Safe URL policy applies,yes,yes,add-link,KEEP,Useful editing task
E009,Add visual signature,Place appearance-only signature,1,Edit,Forms & Protect > Signatures,Edit > Sign,A,available-with-warning,Editor export tests,Not cryptographic signing,yes,yes,visual-signature,KEEP,Common task and distinction must stay explicit
E010,Add stamp,Place stamp,2,Edit,,Edit > More,C,available,Editor export tests,Appearance annotation only,yes,no,add-stamp,DEMOTE,Useful but secondary
E011,Draw shapes,Add rectangle ellipse line or arrow,2,Edit,,Edit > Shapes,B,available,Editor tests,Added objects only,yes,no,draw-shape,KEEP,Standard annotation and edit feature
E012,Highlight,Add highlight markup,1,Edit,,Edit,A,available,Editor tests,Annotation behavior,yes,no,highlight,KEEP,Top workflow
E013,Underline strikeout and squiggly,Add markup variants,2,Edit,,Edit > Markup,B,available,Editor tests,Secondary markup,yes,no,text-markup,KEEP,Expected review tools
E014,Freehand drawing,Draw ink,1,Edit,,Edit,B,available,Editor tests,Pointer and stylus dynamics limited,yes,no,ink,KEEP,Common annotation
E015,Comments and notes,Add review notes,1,Edit,,Edit,A,available,Editor tests,Local PDF annotation semantics,yes,no,comment,KEEP,Common review task
E016,Mark redaction regions,Mark content for later permanent redaction,1,Edit,Forms & Protect > Redaction,Edit > Redact,A,available-with-warning,Editor and security validation,Marks are not permanent until applied,yes,yes,mark-redaction,KEEP,Common but requires clear two-stage semantics
E017,Align distribute and match size,Arrange selected objects,2,Edit,,Edit > contextual layout,B,available-with-warning,P6 tests,Capabilities differ for source and added objects,yes,yes,arrange-objects,KEEP,Useful contextual tool
E018,Group and ungroup added objects,Group added objects,2,Edit,,Edit > contextual layout,C,available,Editor history,Existing source objects are not groupable,yes,yes,group-objects,DEMOTE,Contextual power-user action
E019,Copy paste and duplicate added objects,Reuse added objects,1,Edit,,Edit,B,available-with-warning,Editor tests,Existing source objects cannot safely clone,yes,yes,duplicate-added-object,KEEP,Expected and limitation should be explained simply
E020,Change added-object layer order,Bring forward or send backward,2,Edit,,Edit > contextual layout,C,available-with-warning,Editor model,Cannot rewrite arbitrary existing PDF painting order,yes,yes,arrange-layer-order,DEMOTE,Power-user contextual action
E021,Editor layers and object list,Select and hide objects from a list,2,Edit,,Edit > Layers,C,available,Editor UI,Currently exposes native and overlay jargon confidence and z-index,no,no,editor-layers,REPAIR,Keep functionality and remove engineering metadata
E022,Native capability confidence display,Show object confidence percentages,3,Edit layers,,Technical details only,F,available,Native inspection,Developer-oriented and confusing,no,no,native-confidence,HIDE,Not needed for normal editing
E023,Phase labels in editor,Show P6 and other implementation terminology,3,Edit,,Nowhere in consumer UI,G,available,Static UI strings,Internal implementation jargon,no,no,phase-labels,REMOVE,No user value
E024,Legacy native editor route,Compatibility redirect to Edit,3,Legacy route,,Hidden compatibility route,H,unsupported-for-document,Redirect only,No independent capability remains,no,no,legacy-native-editor,HIDE,Keep route compatibility but never expose as a feature
P001,Reorder pages,Drag pages into new order,1,Pages,,Pages,A,available,Organizer tests,Export may affect whole-document structures,yes,yes,reorder-pages,KEEP,Top workflow
P002,Rotate pages,Rotate selected pages,1,Pages,Batch,Pages,A,available,Organizer tests,Whole-document structures can be rewritten,yes,yes,rotate-pages,KEEP,Top workflow
P003,Duplicate pages,Duplicate selected pages,1,Pages,,Pages,A,available,Organizer tests,Cross-document relationships may need validation,yes,yes,duplicate-pages,KEEP,Common page task
P004,Delete pages,Remove selected pages,1,Pages,,Pages,A,available-with-warning,Organizer tests,Destructive output transformation,yes,yes,delete-pages,KEEP,Top workflow
P005,Reverse pages,Reverse all or selected pages,2,Pages,,Pages > More,C,available,Organizer tests,Niche,yes,no,reverse-pages,DEMOTE,Useful but secondary
P006,Extract selected pages,Create PDF from selected pages,1,Pages,Toolbox split,Pages,A,available,Organizer output validation,Whole-document bookmarks and signatures may not transfer meaningfully,yes,yes,extract-pages,KEEP,Top workflow
P007,Merge PDFs,Combine PDFs,1,Quick Tools,,Pages > Merge,A,available,Merge workflow tests,Cross-document structures can change,yes,yes,merge-pdfs,KEEP,Top workflow
P008,Split PDF into fixed-size parts,Create ZIP of PDF parts,1,Tools > Convert,Batch,Pages > Split,B,available-with-warning,Toolbox exporter,Whole-document bookmarks and signatures may not remain meaningful,yes,yes,split-pdf,KEEP,Common intent currently buried
P009,Crop visible page area,Change CropBox margins,1,Tools > Crop & blank pages,Batch,Pages > Crop,A,available-with-warning,Toolbox transform,Does not securely erase outside content,yes,yes,crop-pages,KEEP,Common page task currently buried
P010,Insert blank pages,Add blank pages,2,Tools > Crop & blank pages,Batch,Pages > Insert,B,available,Toolbox transform,Currently only start or end in Toolbox,yes,no,insert-blank-pages,KEEP,Useful page workflow
P011,Page-range expression syntax,Select ranges with odd even and exclusions,2,Pages OCR and Professional,Batch,Shared selection control,B,available,Parser tests,Syntax can be opaque,no,no,page-range,KEEP,Shared capability needing consistent UX
O001,Lossless optimize,Clean and compress structure without rasterizing,1,Optimize,Batch and Preservation,Optimize,A,available,Processing and reopen gates,Reduction can be small or negative,yes,yes,lossless-optimize,KEEP,Core optimization
O002,Raster compress,Reduce size by rasterizing pages,1,Optimize,Batch,Optimize > Smaller file,B,available-with-warning,Raster pipeline,Loses searchable text forms links annotations signatures and vector editability,yes,yes,raster-compress,KEEP,Useful but loss boundary must be clear
O003,Remove metadata during optimize,Remove metadata while optimizing,2,Optimize,Tools Metadata Sanitize and Batch,Canonical Remove metadata action,E,available,Processing tests,Duplicate of canonical metadata-removal intent,yes,yes,remove-metadata,MERGE,One canonical action with contextual shortcuts
O004,Grayscale PDF,Create raster grayscale copy,2,Tools > Convert,Batch,Convert > Grayscale,C,available-with-warning,Raster transform,Loses interactive and vector structure,yes,yes,grayscale-pdf,DEMOTE,Niche and lossy
C001,OCR scanned PDF,Make scanned PDF searchable,1,OCR,,Convert > OCR,A,available-with-warning,OCR jobs and output validation,Raster reconstruction printed text only and language packs required,yes,yes,ocr-pdf,KEEP,Top workflow
C002,OCR preprocessing controls,Adjust contrast grayscale invert and scale,2,OCR,,OCR > Advanced cleanup,C,available,OCR preprocessing,Can overwhelm default flow,no,no,ocr-preprocess,DEMOTE,Useful advanced settings
C003,OCR language management,Install import or remove language packs,2,OCR,Scan,OCR language selector,B,available,Offline pack management,Pack download or import required,no,yes,ocr-languages,KEEP,Required for multilingual OCR
C004,Scan and images to PDF,Build PDF from images or camera,1,Quick Tools > Scan,,Convert > Images to PDF,A,available,Scan output validation,Camera and browser support varies,yes,yes,scan-to-pdf,KEEP,Top workflow
C005,Searchable scan,OCR images while creating PDF,1,Scan,OCR,Convert > Images to searchable PDF,B,available-with-warning,Scan and OCR validation,Same Tesseract and raster limitations,yes,yes,searchable-scan,KEEP,High-value combined workflow
C006,Create PDF from Markdown text or HTML,Author PDF from structured source,2,Quick Tools > Create,,Convert or Create,B,available-with-warning,Creator output validation,Simple HTML only and shaping-dependent searchable scripts blocked,yes,yes,create-pdf,KEEP,Useful standalone creator
C007,Creator style presets,Save and apply document style presets,2,Create PDF,,Create PDF > Style,C,available,Local preset store,Niche relative to editor,no,no,creator-presets,KEEP,Useful within creator not global
C008,PDF to plain text,Extract PDF text,1,Tools > Convert,,Convert > Text,B,available,Exporter,No layout fidelity,no,yes,export-text,KEEP,Useful conversion
C009,PDF to Markdown,Extract PDF content to Markdown,2,Tools > Convert,,Convert > Markdown,C,available,Exporter,No typography or layout fidelity,no,yes,export-markdown,KEEP,Useful but secondary
C010,PDF to HTML,Extract PDF content to standalone HTML,2,Tools > Convert,,Convert > HTML,C,available,Exporter,No layout fidelity,no,yes,export-html,KEEP,Useful but secondary
C011,PDF pages to images ZIP,Render pages as images,1,Tools > Convert,Batch,Convert > Images,B,available,Exporter,Raster output,yes,yes,export-page-images,KEEP,Common conversion
C012,Text-focused DOCX export,Export editable text to DOCX,2,Print & Advanced > DOCX,,Convert > DOCX limited,C,available-with-warning,DOCX builder,Prioritizes editable text not visual fidelity,no,yes,export-docx,DEMOTE,Useful only if clearly labeled limited
C013,High-fidelity Office conversion,Convert PDF to or from Office with layout fidelity,1,Not implemented,,Hidden,H,hidden,No production implementation,Out of current capability,no,yes,office-conversion,HIDE,Do not present until a real engine exists
T001,Watermark,Add static watermark text,2,Tools > Watermark & numbering,Batch,More > Watermark,B,available-with-warning,Toolbox transform,Static text and script limits,yes,yes,watermark,KEEP,Useful task currently buried
T002,Header and footer,Add static headers or footers,2,Tools > Watermark & numbering,Batch,Pages > More,B,available-with-warning,Toolbox transform,Static text and script limits,yes,yes,header-footer,KEEP,Useful task
T003,Page numbering,Add page numbers,1,Tools > Watermark & numbering,Batch,Pages > Page numbers,B,available,Toolbox transform,Static decoration,yes,yes,page-numbers,KEEP,Common page task
T004,Edit metadata,Change title author subject and keywords,2,Tools > Metadata,Security inspector,More > Document properties,B,available,Toolbox transform,Limited standard metadata set,yes,yes,edit-metadata,KEEP,Useful document property
T005,Remove metadata,Remove metadata,1,Tools > Metadata,Optimize Sanitize and Batch,Protect or Privacy,A,available,Multiple implementations,Multiple duplicate entry points,yes,yes,remove-metadata,MERGE,One canonical intent should route consistently
T006,Generic Toolbox container,Find crop decorate metadata and conversion tools,1,Workspace Tools,Quick Tools PDF utilities,No standalone container,E,available,Container only,Buries unrelated intents under a generic label,no,no,toolbox-container,MERGE,Capabilities survive and container should disappear in R2
S001,Fill existing forms,Fill supported AcroForm fields,1,Forms & Protect > Forms,Edit native form objects,Edit or Forms,A,available-with-warning,Security and native editor gates,XFA read-only signature and unsupported widgets are not mutated,yes,yes,fill-form,KEEP,Top workflow
S002,Create new form fields,Author new form fields,2,Accessibility > Forms,,Forms > Create fields advanced,D,experimental,Compliance implementation exists but conflicts with Secure messaging and needs dedicated qualification,Not full XFA JavaScript or arbitrary widget authoring,yes,yes,create-form-fields,REPAIR,Do not advertise as mature until reconciled and tested
S003,Permanent redaction,Remove marked content,1,Forms & Protect > Redaction,Edit redaction marks,Edit > Redact > Apply,A,available-with-warning,Security-critical validation,Requires marked regions and explicit apply,yes,yes,apply-redaction,KEEP,High-trust core workflow
S004,Security inspector,Inspect encryption permissions forms signatures and active content,3,Forms & Protect > Inspector,Inspect,More > Document details,E,available,Security inspector,Duplicates separate Inspect and Compliance findings,no,no,security-inspector,MERGE,One technical document-details surface
S005,Remove JavaScript and automatic actions,Sanitize active content,2,Forms & Protect > Sanitize,Compliance,Protect > Sanitize,B,available-with-warning,Security validation,May change document behavior,yes,yes,sanitize-active-content,KEEP,Useful security action
S006,Remove attachments,Delete embedded attachments,2,Forms & Protect > Sanitize,,Protect > Sanitize,B,available-with-warning,Security validation,Destructive,yes,yes,remove-attachments,KEEP,Valid sanitization
S007,Remove links,Delete page links,2,Forms & Protect > Sanitize,,Protect > Sanitize,C,available-with-warning,Security validation,Destructive,yes,yes,remove-links,DEMOTE,Niche destructive control
S008,Remove comments and annotations,Delete annotations and comments,2,Forms & Protect > Sanitize,,Protect > Sanitize,B,available-with-warning,Security validation,Destructive and can affect redaction marks,yes,yes,remove-comments,KEEP,Valid cleanup
S009,Clear form values,Clear fields,2,Forms & Protect > Sanitize,,Forms > More,B,available-with-warning,Security validation,Does not clear signed signature fields,yes,yes,clear-form-values,KEEP,Useful privacy task
S010,Flatten forms,Make fields non-interactive,2,Forms & Protect > Sanitize,,Forms > Flatten,B,available-with-warning,Security validation,Removes interactivity,yes,yes,flatten-forms,KEEP,Common finalization
S011,Flatten annotations,Make annotations non-editable,2,Forms & Protect > Sanitize,,Edit or Protect > Flatten,B,available-with-warning,Security validation,Removes editability,yes,yes,flatten-annotations,KEEP,Useful finalization
S012,Collapse incremental history,Rewrite PDF revision history,3,Forms & Protect > Sanitize,Repair,More > Sanitize > Advanced,C,available-with-warning,Security and repair engines,Can invalidate signature history,yes,yes,collapse-history,DEMOTE,Technical privacy and security action
S013,Password protection AES-256,Encrypt PDF with passwords,1,Forms & Protect > Protect,,Protect,A,available-with-warning,Security validation,Reader support and permissions semantics vary,yes,yes,password-protect,KEEP,Top workflow
S014,PDF permission controls,Set print copy and edit permissions,2,Forms & Protect > Protect,,Protect > Permissions,B,available-with-warning,Security validation,Permissions rely on reader enforcement,yes,yes,pdf-permissions,KEEP,Expected protection feature
S015,Inspect existing digital signatures,Review signature fields and coverage,2,Forms & Protect > Signatures,Compliance,More > Signatures,B,available-with-warning,Signature inspection,Not full trust revocation or PAdES validation,no,yes,inspect-signatures,KEEP,Useful specialist capability
S016,Certificate-backed digital signing,Sign PDF with trusted certificate,1,Explicitly unavailable,,Hidden or external integration notice,H,hidden,No browser signer implementation,Desktop or signer bridge required,yes,yes,digital-sign-pdf,HIDE,Never imply visual signature equals digital signature
S017,Forms & Protect container,Find forms redaction signatures sanitize and protect,1,Workspace Forms & Protect,Quick Tools,Decompose into contextual tasks,E,available,Container works,Combines six unrelated intentions,no,no,secure-container,MERGE,Capabilities remain but container is overloaded
A001,Compare PDFs visually,Compare rendered pages,2,Quick Tools > Compare,,More > Compare,B,available-with-warning,Compare browser tests,Pixel differences can include rendering noise,no,yes,compare-visual,KEEP,Useful specialist workflow
A002,Compare extracted text,Diff page text,2,Compare,,More > Compare,B,available,Comparison tests,Extraction quality depends on PDF text,no,yes,compare-text,KEEP,Useful
A003,Automatic page alignment,Align inserted deleted or scanned pages,2,Compare,,Compare,C,available-with-warning,Compare 3.0 tests,Repetitive scans or extreme documents may need manual pairing,no,yes,compare-align,KEEP,Enhances comparison
A004,Batch automation,Run recipes across PDFs,2,Quick Tools and Workspace button,,More > Batch,B,available-with-warning,Batch 3.0 runtime tests,Not every standalone tool and no per-file encrypted prompts,yes,yes,batch,KEEP,Valuable power-user capability
A005,Batch recipe import and export,Save or share recipe JSON,3,Batch,,Batch > Recipes,C,available,Schema validation,Recipe contains settings only,no,yes,batch-recipes,KEEP,Useful within Batch
PR001,Legacy professional text replacement,Replace text in old specialist workflow,3,Print & Advanced > Text,Edit,Hidden compatibility only,E,available-with-warning,Older professional engine,Latin-1 limited and superseded by v7 unified editor,yes,yes,legacy-pro-text,REMOVE,Duplicate inferior editing path confuses users
PR002,Legacy professional image replacement,Replace image by region in old specialist workflow,3,Print & Advanced > Images,Edit,Hidden compatibility only,E,available-with-warning,Older professional engine,Superseded by v7 source image editing,yes,yes,legacy-pro-image,REMOVE,Duplicate inferior editing path
PR003,Bates numbering,Add sequential document identifiers,3,Print & Advanced > Document numbering,,More > Bates numbering,C,available,Professional output validation,Specialist legal and admin workflow,yes,yes,bates-numbering,DEMOTE,Keep specialist task
PR004,Print imposition,Create 2-up 4-up or booklet print sheets,3,Print & Advanced > Print layout,Preservation vector layout,More > Print layout,C,available-with-warning,Professional and imposition tests,Raster and vector variants have different preservation boundaries,yes,yes,print-imposition,MERGE,One canonical print-layout workflow
PR005,Optional-content layer visibility,Change PDF layer visibility,3,Print & Advanced > Layers,,More > Layers,C,available-with-warning,Professional engine,Producer-specific layer complexity,yes,yes,pdf-layers,DEMOTE,Specialist task
PR006,Archive readiness check,Inspect archive readiness,3,Print & Advanced > Archive,Accessibility > Standards check,More > Standards,E,available,Professional and compliance inspection,Duplicates Compliance,no,yes,archive-check,MERGE,Consolidate under standards
PR007,Print & Advanced container,Find unrelated specialist tools,2,Workspace Print & Advanced,Quick Tools,More specialist tasks,E,available,Container works,Junk drawer for editing numbering print layers archive and DOCX,no,no,professional-container,MERGE,Decompose in R2
AC001,Standards and preflight inspection,Inspect archival accessibility print security and signature findings,3,Accessibility > Standards check,Inspect Security and Professional,More > Standards & accessibility,C,available-with-warning,Compliance inspection,Not an external conformance certificate,no,yes,standards-check,KEEP,Useful specialist assessment
AC002,PDF/A candidate preparation,Prepare PDF/A-1b 2b or 3b candidate,3,Accessibility > Archive/PDF-A,Professional Archive,More > Archive,C,available-with-warning,Compliance output verification,Not certified ISO conformance,yes,yes,pdfa-prepare,KEEP,Specialist and must retain candidate wording
AC003,Accessibility inspection,Assess tag language and structure issues,3,Accessibility,Standards check,More > Accessibility,C,available-with-warning,Compliance inspection,Cannot infer complete PDF/UA tagging from arbitrary untagged PDF,no,yes,accessibility-check,KEEP,Useful specialist capability
AC004,Accessibility repairs,Set language title alt text and top-level reading order,3,Accessibility,,More > Accessibility,C,available-with-warning,Compliance apply and verify,Repairs existing semantic structure and is not full autotagging,yes,yes,accessibility-repair,KEEP,Useful bounded remediation
AC005,Detached signature evidence,Create local detached ECDSA evidence,3,Accessibility > Digital signatures,,Technical evidence export,F,experimental,Self-verification exists,Not embedded signature trusted timestamp PAdES or certificate trust,no,yes,detached-signature-evidence,DEMOTE,Technical feature that can confuse users
AC006,Accessibility workspace container,Standards PDF-A accessibility signatures and forms,2,Workspace Accessibility,,More > Standards & accessibility,E,available,Container works,Name hides forms signatures and preflight and overlaps other modes,no,no,compliance-container,MERGE,Decompose in R2
D001,Document structure inspector,Inspect fonts images forms actions revisions and security,3,Advanced diagnostics > Inspect,Security inspector and Standards,Troubleshooting or More > Document details,F,available,Detailed inspection,Technical data not needed for everyday work,no,yes,document-inspector,DEMOTE,Keep for support and power users
D002,Export inspection JSON,Export technical structure report,3,Inspect,,Document details > Export,F,available,Inspector,Technical output,no,no,inspection-json,DEMOTE,Support function
D003,Repair PDF,Rewrite a clean copy,2,Advanced diagnostics > Repair,Quick Tools advanced,Troubleshooting > Repair PDF,C,available-with-warning,Repair output validation,Cannot recover fundamentally unreadable or truncated PDFs,yes,yes,repair-pdf,KEEP,Valid recovery workflow but not normal mode
D004,Preservation structure graph,Inspect preservation graph and counts,3,Advanced diagnostics > Preservation,Inspect,Technical details only,F,available,Preservation engine,Duplicates inspection and exposes internal model,no,no,preservation-graph,HIDE,No primary product value
D005,Structure-safe optimize,Optimize with structural-loss checks,3,Preservation,Optimize,Canonical Optimize implementation,E,available,Preservation engine,Duplicates lossless optimize and fidelity certification,yes,yes,structure-safe-optimize,MERGE,Fold guarantees into canonical Optimize
D006,Vector print layout,2-up or 4-up vector imposition,3,Preservation,Print & Advanced,More > Print layout,E,available-with-warning,Preservation engine,Duplicates print imposition variant,yes,yes,vector-imposition,MERGE,One print-layout workflow with best available engine
D007,Preservation workspace mode,Expose graph optimize and imposition,3,Advanced diagnostics,,No standalone mode,E,available,Mode only,Implementation-driven combination duplicating features,no,no,preservation-mode,REMOVE,Hide mode after compatibility planning
IA001,Quick Tools page,Browse all PDF capabilities,1,Global Tools,,Task launcher and tool search,D,available,Page works,Generic tiles route to overloaded containers and task findability is poor,no,no,quick-tools,REPAIR,R2 should rebuild around canonical user tasks
IA002,Workspace mode rail,Switch among Read Edit Pages Tools Optimize Forms & Protect OCR and more,1,Workspace,,Task-oriented primary navigation,D,available,Mode switching works,Simple has seven modes and Advanced adds more plus diagnostics,no,no,workspace-mode-rail,REPAIR,Primary source of clunky navigation
IA003,Suggested next step bar,Recommend contextual mode,1,Workspace,,Contextual task suggestions,D,available,Static manifest heuristics,Can suggest technical Inspect merely because no outline,no,yes,context-suggestions,REPAIR,Keep concept and only recommend user-relevant tasks
IA004,What changes preservation panel,Explain preservation and loss consequences,2,Workspace,,Contextual advanced details,B,available,Preservation contracts,Can be verbose and technical,no,no,what-changes,KEEP,Trust feature that needs simpler language
IA005,Global advanced and support menu,Expose activity storage maintenance diagnostics validation and about,2,App shell,,Help and About support,D,available,Routes work,Mixes useful recovery with engineering and release tools,no,no,advanced-support-menu,REPAIR,Hide engineering labs and self-check while keeping support essentials
